Наименование	Артикул	Категория	ОПТ ₽	РРЦ ₽	Штрих-код	Бренд	Страна	Гарантия	Фото 0	Фото 1	Фото 2	Фото 3	Фото 4	СХЕМА	Модификация	Установка	Форма	Материал	Цвет	Объем, л	Антискользящее покрытие	Подголовник	Ручки	Слив-перелив	Расположение cлива	Каркас	Ножки	Комплектация	Мультимедиа	Дезинфекция	Озонирование	Хромотерапия	Защита от сухого пуска	Гидромассаж	Форсунок гидромассажа	Массаж спины	Аэромассаж	Форсунок аэромассажа	Исполнение форсунок	Тип управления	Регулировка интенсивности массажа	Длина, см	Ширина, см	Высота, см	Глубина, см	Длина упаковки, м	Ширина упаковки, м	Высота упаковки, м	Объем упаоквки, м3	Вес в упаковке, кг
Акриловая ванна ABBER AB9329-1.7 L	AB9329-1.7 L	Ванны	108 300	151 620	4603757417884	ABBER	Германия	3 года	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9329-1-7-l_kg_big_3725.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9329-1-7-l_kgi_big_8846.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9329-1-7-l_kgi_big_8847.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9329-1-7-l_kgi_big_8848.jpg		https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9329-1-7-l_kgi_big_8849.jpg	левосторонняя	пристенная	угловая асимметричная	акрил	белый	240	нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	170	80	58	45,6	1,73	0,83	0,61	0,876	49
Акриловая ванна ABBER AB9329-1.7 R	AB9329-1.7 R	Ванны	108 300	151 620	4603757417891	ABBER	Германия	3 года	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9329-1-7-r_kg_big_3726.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9329-1-7-r_kgi_big_8850.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9329-1-7-r_kgi_big_8851.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9329-1-7-r_kgi_big_8852.jpg		https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9329-1-7-r_kgi_big_8853.jpg	правосторонняя	пристенная	угловая асимметричная	акрил	белый	240	нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	170	80	58	45,6	1,73	0,83	0,61	0,876	49
Акриловая ванна ABBER AB9330-1.7	AB9330-1.7	Ванны	108 300	151 620	4603757417914	ABBER	Германия	3 года	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9330-1-7_kg_big_3727.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9330-1-7_kgi_big_8854.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9330-1-7_kgi_big_8855.jpg			https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9330-1-7_kgi_big_8856.jpg	универсальная	пристенная	овальная	акрил	белый	240	нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	170	80	58	45,6	1,73	0,83	0,61	0,876	49
Акриловая ванна ABBER AB9331-1.6 L	AB9331-1.6 L	Ванны	79 800	111 720	4603757417945	ABBER	Германия	3 года	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9331-1-6-l_kg_big_3728.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9331-1-6-l_kgi_big_8857.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9331-1-6-l_kgi_big_8858.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9331-1-6-l_kgi_big_8859.jpg		https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9331-1-6-l_kgi_big_8860.jpg	левосторонняя	пристенная	угловая асимметричная	акрил	белый	230	нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	160	75	58	45,6	1,63	0,78	0,61	0,776	50
Акриловая ванна ABBER AB9331-1.6 R	AB9331-1.6 R	Ванны	79 800	111 720	4603757417952	ABBER	Германия	3 года	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9331-1-6-r_kg_big_3729.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9331-1-6-r_kgi_big_8861.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9331-1-6-r_kgi_big_8862.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9331-1-6-r_kgi_big_8863.jpg		https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9331-1-6-r_kgi_big_8864.jpg	правосторонняя	пристенная	угловая асимметричная	акрил	белый	230	нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	160	75	58	45,6	1,63	0,78	0,61	0,776	50
Акриловая ванна ABBER AB9333	AB9333	Ванны	95 000	133 000	4603757417990	ABBER	Германия	3 года	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9333_kg_big_3741.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9333_kgi_big_8907.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9333_kgi_big_8908.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9333_kgi_big_8909.jpg		https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9333_kgi_big_8910.jpg	универсальная	отдельностоящая	овальная	акрил	белый	190	нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	180	80	75	40	1,83	0,83	0,78	1,185	51
Акриловая ванна ABBER AB9335-1.7 L	AB9335-1.7 L	Ванны	80 750	113 050	4603757418065	ABBER	Германия	3 года	https://specialist-ltd.ru/imgcatalog/kg-3747-big-akrilovaya-vanna-abber-ab9335-1-7-l-h9pe.jpg	https://specialist-ltd.ru/imgcatalog/ki-3747-big-akrilovaya-vanna-abber-ab9335-1-7-l-bagybd.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9335-1-7-l_kgi_big_8926.jpg	https://specialist-ltd.ru/imgcatalog/ki-3747-big-akrilovaya-vanna-abber-ab9335-1-7-l-0569dr.jpg		https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9335-1-7-l_kgi_big_8928.jpg	левосторонняя	пристенная	угловая асимметричная	акрил	белый	200	нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	170	78	60	45,6	1,73	0,81	0,63	0,88	50
Акриловая ванна ABBER AB9335-1.7 R	AB9335-1.7 R	Ванны	80 750	113 050	4603757418072	ABBER	Германия	3 года	https://specialist-ltd.ru/imgcatalog/kg-3748-big-akrilovaya-vanna-abber-ab9335-1-7-r-st5u.jpg	https://specialist-ltd.ru/imgcatalog/ki-3748-big-akrilovaya-vanna-abber-ab9335-1-7-r-mqcfl6.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9335-1-7-r_kgi_big_8929.jpg	https://specialist-ltd.ru/imgcatalog/ki-3748-big-akrilovaya-vanna-abber-ab9335-1-7-r-kfmmq5.jpg		https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9335-1-7-r_kgi_big_8931.jpg	правосторонняя	пристенная	угловая асимметричная	акрил	белый	200	нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	170	78	60	45,6	1,73	0,81	0,63	0,88	50
Акриловая ванна ABBER AB9337	AB9337	Ванны	109 250	152 950	4603757418096	ABBER	Германия	3 года	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9337_kg_big_3750.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9337_kgi_big_8936.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9337_kgi_big_8937.jpg			https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9337_kgi_big_8938.jpg	универсальная	отдельностоящая	квадратная	акрил	белый	380	нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	140	140	60	45,6	1,43	1,43	0,63	1,29	65
Акриловая ванна ABBER AB9339-1.6	AB9339-1.6	Ванны	95 950	134 330	4603757418140	ABBER	Германия	3 года	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9339-1-6_kg_big_3755.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9339-1-6_kgi_big_8951.jpg	https://gemy-russia.ru/imgcatalog/akrilovaya-vanna-abber-ab9339-1-6_kgi_big_8895.jpg			https://gemy-russia.ru/imgcatalog/ki-3665-big-akrilovaya-vanna-abber-ab9339-1-6-6tbxx5.jpg	универсальная	отдельностоящая	прямоугольная	акрил	белый	215	нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	160	80	63,5	45,6	1,63	0,83	0,665	0,9	65
