Артикул	Наименование	Раздел	Производитель	Состояние	Статус	Цвет	Тип	Штрихкод	Коллекция	Ширина	Высота	Глубина	Монтаж	Материал корпуса	Материал фасада	Покрытие	Стиль	Гарантия	Страна сборки	Вес, кг Брутто	Объем, м3 Брутто	Ориентация	Область применения	Фурнитура	Доп. функции	Система хранения	Тип лампы	Описание	Изображение	РРЦ
99.1002	Тумба Q (D), 70 см, подвесная, 2 дверцы, белый глянец	тумбы	Dreja	склад		белый	тумбы	4610093020265	Q(D)	644	500	455	подвесной	ЛДСП	МДФ	глянцевое	современный	2 года	Россия	26,43	0,176	универсальная	бытовая	Hettich		2 дверцы, 1 полка		Современная коллекция	https://cloud.mail.ru/public/sSjo/oH6nKFpUM	13200
99.1003	Тумба Q (D), 80 см, подвесная, 3 дверцы, белый глянец	тумбы	Dreja	склад		белый	тумбы	4610093020272	Q(D)	744	500	455	подвесной	ЛДСП	МДФ	глянцевое	современный	2 года	Россия	27,85	0,202	универсальная	бытовая	Hettich		3 дверцы, 2 полки		Современная коллекция	https://cloud.mail.ru/public/estb/AgXMRT4g7	14800
99.1008	Тумба Q PLUS (D), 55 см, подвесная/напольная, 2 дверцы, с опорами, белый глянец	тумбы	Dreja	склад		белый	тумбы	4610093020289	Q Plus (D)	495	599	455	подвесной	ЛДСП	МДФ	глянцевое	современный	2 года	Россия	22,43	0,161	универсальная	бытовая	Hettich		2 дверцы, 1 полка		Современная коллекция	https://cloud.mail.ru/public/ecQV/x74DCyhLi	13800
99.1004	Тумба Q PLUS (D), 60 см, подвесная/напольная, 2 дверцы, с опорами, белый глянец	тумбы	Dreja	склад		белый	тумбы	4610093020296	Q Plus (D)	554	599	455	подвесной	ЛДСП	МДФ	глянцевое	современный	2 года	Россия	22,9	0,149	универсальная	бытовая	Hettich		2 дверцы, 1 полка		Современная коллекция	https://cloud.mail.ru/public/QoUp/cLRWNDERo	14100
99.1005	Тумба Q PLUS (D), 70 см, подвесная/напольная, 2 дверцы, с опорами, белый глянец	тумбы	Dreja	склад		белый	тумбы	4610093020302	Q Plus (D)	644	599	455	подвесной	ЛДСП	МДФ	глянцевое	современный	2 года	Россия	26,43	0,176	универсальная	бытовая	Hettich		2 дверцы, 1 полка		Современная коллекция	https://cloud.mail.ru/public/hGDu/P7iXAGrpg	15900
99.1006	Тумба Q PLUS (D), 80 см, подвесная/напольная, 3 дверцы, с опорами, белый глянец	тумбы	Dreja	склад		белый	тумбы	4610093020319	Q Plus (D)	744	599	455	подвесной	ЛДСП	МДФ	глянцевое	современный	2 года	Россия	27,85	0,202	универсальная	бытовая	Hettich		3 дверцы, 2 полки		Современная коллекция	https://cloud.mail.ru/public/4u8A/tj9ZyKFjk	17900
99.0400	Тумба SLIM, 55 см, подвесная/напольная, 2 ящика, белый глянец	тумбы	Dreja	склад	новинка	белый	тумбы	4687202040063	Slim	524	660	312	подвесной	ЛДСП	МДФ	глянцевое	современный	2 года	Россия	24	0,107	универсальная	бытовая	Boyard		2 ящика		Современная коллекция	https://cloud.mail.ru/public/x2Ew/9siwZoBLj	15300
99.0500	Тумба SLIM, 55 см, подвесная/напольная, 2 ящика, белый глянец / дуб кантри	тумбы	Dreja	склад	новинка	белый/дуб кантри	тумбы	4687202040155	Slim	524	660	312	подвесной	ЛДСП	МДФ	глянцевое	современный	2 года	Россия	24	0,107	универсальная	бытовая	Boyard		2 ящика		Современная коллекция	https://cloud.mail.ru/public/GymV/yq6pKy9DA	13400
99.0502	Тумба SLIM, 55 см, подвесная/напольная, 2 ящика, белый глянец / бетон	тумбы	Dreja	склад	новинка	белый/бетон	тумбы	4687202040179	Slim	524	660	312	подвесной	ЛДСП	МДФ	глянцевое	современный	2 года	Россия	24	0,107	универсальная	бытовая	Boyard		2 ящика		Современная коллекция	https://cloud.mail.ru/public/Aohr/oNqjbPwVT	15900
17055-KL	Слим Синерджи, 55 см, мебельный умывальник, керамический	умывальники	Dreja	склад	новинка	белый	умывальники	8682368200791	Slim	550	150	330	подвесной			глянцевое	современный	2 года	Россия	12,65	0,030	универсальная	бытовая	Boyard				Современная коллекция	https://cloud.mail.ru/public/21Wm/bWHHyx3ZW	6990
99.0401	Тумба SLIM, 65 см, подвесная/напольная, 2 ящика, белый глянец	тумбы	Dreja	склад	новинка	белый	тумбы	4687202040070	Slim	620	660	312	подвесной	ЛДСП	МДФ	глянцевое	современный	2 года	Россия	27	0,127	универсальная	бытовая	Boyard		2 ящика		Современная коллекция	https://cloud.mail.ru/public/JPbz/wNsLEVRez	16900
99.0501	Тумба SLIM, 65 см, подвесная/напольная, 2 ящика, белый глянец / дуб кантри	тумбы	Dreja	склад	новинка	белый/дуб кантри	тумбы	4687202040162	Slim	620	660	312	подвесной	ЛДСП	МДФ	глянцевое	современный	2 года	Россия	25,5	0,127	универсальная	бытовая	Boyard		2 ящика		Современная коллекция	https://cloud.mail.ru/public/VbLo/HGHxWhiYM	14500
99.0503	Тумба SLIM, 65 см, подвесная/напольная, 2 ящика, белый глянец / бетон	тумбы	Dreja	склад	новинка	белый/бетон	тумбы	4687202040186	Slim	620	660	312	подвесной	ЛДСП	МДФ	глянцевое	современный	2 года	Россия	25,5	0,127	универсальная	бытовая	Boyard		2 ящика		Современная коллекция	https://cloud.mail.ru/public/YxfK/7XaAz1Yh9	17400
17065-KL	Слим Синерджи, 65 см, мебельный умывальник, керамический	умывальники	Dreja	склад	новинка	белый	умывальники	8682368200814	Slim	650	150	330	подвесной			глянцевое	современный	2 года	Россия	14,76	0,035	универсальная	бытовая	Boyard				Современная коллекция	https://cloud.mail.ru/public/LNNH/FMArKDokV	7890
99.0406	Пенал SLIM, 30 см, подвесной/напольный, универсальный, 2 дверцы, 4 стеклянные полки, белый глянец	пеналы	Dreja	склад	новинка	белый	пеналы	4687202040124	Slim	300	1900	250	подвесной	ЛДСП	МДФ	глянцевое	современный	2 года	Россия	29	0,143	универсальная	бытовая	Boyard		2 дверцы, 4 стеклянные полки		Современная коллекция	https://cloud.mail.ru/public/osnR/75bBX4gDp	17900
99.0504	Пенал SLIM, 30 см, подвесной/напольный, универсальный, 2 дверцы, 4 стеклянные полки, белый глянец / дуб кантри	пеналы	Dreja	склад	новинка	белый/дуб кантри	пеналы	4687202040193	Slim	300	1900	250	подвесной	ЛДСП	МДФ	глянцевое	современный	2 года	Россия	28	0,143	универсальная	бытовая	Boyard		2 дверцы, 4 стеклянные полки		Современная коллекция	https://cloud.mail.ru/public/M3t5/ABMiCypiQ	15200
99.0505	Пенал SlIM, 30 см, подвесной/напольный, универсальный, 2 дверцы, 4 стеклянные полки, белый глянец / бетон	пеналы	Dreja	склад	новинка	белый/бетон	пеналы	4687202040209	Slim	300	1900	250	подвесной	ЛДСП	МДФ	глянцевое	современный	2 года	Россия	28	0,143	универсальная	бытовая	Boyard		2 дверцы, 4 стеклянные полки		Современная коллекция	https://cloud.mail.ru/public/S5Jo/XkeFh312L	16700
99.0450	Тумба Vega, 60 см, напольная, 1 ящик, 2 дверцы, белый глянец	тумбы	Dreja	склад	новинка	белый	тумбы	4687202657551	Vega	565	855	480	напольный	ЛДСП	МДФ	глянцевое	современный	2 года	Россия	26	0,231	универсальная	бытовая	Hettich, Boyard		1 ящик, 2 дверцы		Современная коллекция	https://cloud.mail.ru/public/yUgs/9BaQuypb9	15900
99.0451	Тумба Bona, 60 см, напольная, 2 ящика, белый глянец	тумбы	Dreja	склад	новинка	белый	тумбы	4687202657568	Bona	565	860	480	напольный	ЛДСП	МДФ	глянцевое	современный	2 года	Россия	31	0,233	универсальная	бытовая	Hettich		2 ящика		Современная коллекция	https://cloud.mail.ru/public/4cyL/yZVQxvdXL	17900
100120R	Умывальник Wing 120 R (чаша справа)	умывальники	Dreja	склад	новинка	белый	умывальники	4687202657575	Wing	1200	220	480	подвесной	литьевой мрамор	литьевой мрамор	глянцевое	современный	2 года	Россия	25	0,150	универсальная	бытовая					Современная коллекция	https://cloud.mail.ru/public/5Vgq/szhn3onAi	14000
100120L	Умывальник Wing 120 L (чаша слева)	умывальники	Dreja	склад	новинка	белый	умывальники	4687202657582	Wing	1200	220	480	подвесной	литьевой мрамор	литьевой мрамор	глянцевое	современный	2 года	Россия	25	0,150	универсальная	бытовая					Современная коллекция	https://cloud.mail.ru/public/dJ78/G1usG8UNV	14000
88.0001	Унитаз безободковый подвесной ENZO	унитазы	Dreja	склад	новинка	белый	унитазы	8682376850667	Enzo	355	400	530	подвесной	керамика	керамика	глянцевое	современный	5 лет	Турция	27	0,075	универсальная	бытовая					Современная коллекция	https://cloud.mail.ru/public/RfRB/kY768a5PH	13690
88.0002	Сиденье для унитаза дюропласт с микролифтом ENZO	унитазы	Dreja	склад	новинка	белый	унитазы	4687202522873	Enzo	350	30	430	подвесной	дюропласт	дюропласт	глянцевое	современный	1 год	Турция	2	0,045	универсальная	бытовая					Современная коллекция	https://cloud.mail.ru/public/AKMQ/xQM2VGDZb	5290
99.9811	Комплект опор (ножек) для напольного монтажа мебели, 4 хром пластик	опоры	Dreja	склад		хром	опоры	4687202413614		40	150-180	40		пластик	пластик	хром	современный	2 года	Россия	0,1	0,001	универсальная	бытовая					Современная коллекция	https://cloud.mail.ru/public/1HZp/zNWufX5zn	1300
